Event_Number;Ini_E[MeV];Ini_X[cm];Ini_Y[cm];Ini_Z[cm];Ini_Theta;Ini_Phi;Number_of_hits
1;6.3;6.05;-187.3;118.915;;;
2;6.3;6.05;-134.8;296.781;;;
4;6.3;-6.05;-13.2;72.627;;;
52;100.0;1.0;1.0;-220.0;0.0;0.0;2.0
1;6.3;6.05;-187.3;124.331;;;
4;-6.3;-6.05;-13.2;707.511;;;
53;100.0;1.0;1.0;-220.0;0.0;0.0;2.0
1;6.3;6.05;-187.3;104.656;;;
2;6.3;-6.05;-134.8;323.141;;;
54;100.0;1.0;1.0;-220.0;0.0;0.0;5.0
1;6.3;6.05;-187.3;109.667;;;
3;6.3;-6.05;-96.9;460.169;;;
4;6.3;-30.25;-13.2;867.981;;;
2;6.3;-6.05;-134.8;296.487;;;
3;44.1;-6.05;-96.9;702.455;;;
55;100.0;1.0;1.0;-220.0;0.0;0.0;5.0
1;6.3;6.05;-187.3;116.565;;;
2;-6.3;6.05;-134.8;329.457;;;
3;-18.9;6.05;-96.9;50.095;;;
4;-31.5;18.15;-13.2;914.609;;;
4;-6.3;18.15;-13.2;780.057;;;
56;100.0;1.0;1.0;-220.0;0.0;0.0;4.0
1;6.3;6.05;-187.3;112.643;;;
2;-6.3;-6.05;-134.8;324.698;;;
3;-6.3;-6.05;-96.9;488.732;;;
4;-31.5;-6.05;-13.2;866.836;;;
57;100.0;1.0;1.0;-220.0;0.0;0.0;4.0
1;6.3;6.05;-187.3;11.401;;;
2;6.3;6.05;-134.8;302.676;;;
3;6.3;6.05;-96.9;447.637;;;
4;6.3;6.05;-13.2;755.409;;;
58;100.0;1.0;1.0;-220.0;0.0;0.0;3.0
1;6.3;6.05;-187.3;106.858;;;
2;-6.3;6.05;-134.8;291.592;;;
4;31.5;-42.35;-13.2;104.158;;;
59;100.0;1.0;1.0;-220.0;0.0;0.0;4.0
1;6.3;6.05;-187.3;116.077;;;
2;-6.3;6.05;-134.8;292.215;;;
3;-6.3;-6.05;-96.9;429.898;;;
4;6.3;-6.05;-13.2;725.255;;;
60;100.0;1.0;1.0;-220.0;0.0;0.0;3.0
1;6.3;6.05;-187.3;104.668;;;
2;6.3;6.05;-134.8;287.327;;;
3;6.3;-6.05;-96.9;430.896;;;
61;100.0;1.0;1.0;-220.0;0.0;0.0;3.0
1;6.3;6.05;-187.3;11.474;;;
2;-6.3;-6.05;-134.8;31.063;;;
3;-6.3;-6.05;-96.9;459.939;;;
62;100.0;1.0;1.0;-220.0;0.0;0.0;5.0
1;6.3;6.05;-187.3;110.254;;;
2;-6.3;6.05;-134.8;295.735;;;
3;-6.3;6.05;-96.9;431.207;;;
4;-6.3;30.25;-13.2;87.861;;;
4;6.3;18.15;-13.2;802.758;;;
63;100.0;1.0;1.0;-220.0;0.0;0.0;2.0
1;6.3;6.05;-187.3;115.734;;;
3;18.9;-6.05;-96.9;497.053;;;
64;100.0;1.0;1.0;-220.0;0.0;0.0;4.0
1;6.3;6.05;-187.3;111.503;;;
2;-6.3;6.05;-134.8;288.661;;;
3;-6.3;6.05;-96.9;426.023;;;
4;-6.3;6.05;-13.2;720.027;;;
65;100.0;1.0;1.0;-220.0;0.0;0.0;6.0
1;6.3;6.05;-187.3;113.711;;;
3;-6.3;-6.05;-96.9;426.727;;;
4;-18.9;-6.05;-13.2;820.161;;;
2;6.3;6.05;-134.8;286.704;;;
3;6.3;6.05;-96.9;42.128;;;
4;18.9;-6.05;-13.2;793.909;;;
66;100.0;1.0;1.0;-220.0;0.0;0.0;3.0
1;6.3;6.05;-187.3;110.244;;;
2;6.3;-6.05;-134.8;30.859;;;
3;18.9;6.05;-96.9;551.301;;;
67;100.0;1.0;1.0;-220.0;0.0;0.0;6.0
1;6.3;6.05;-187.3;112.697;;;
2;-6.3;18.15;-134.8;378.247;;;
2;-6.3;-6.05;-134.8;358.371;;;
