,Event_Number,Ini_E[MeV],Ini_X[cm],Ini_Y[cm],Ini_Z[cm],Ini_Theta,Ini_Phi,Number_of_hits
144,33,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
145,1,6.3,6.05,-187.3,104.608,,,finHit
146,2,6.3,-6.05,-134.8,316.143,,,finHit
147,3,6.3,-6.05,-96.9,471.533,,,finHit
148,4,18.9,-6.05,-13.2,805.818,,,finHit
149,34,100.0,1.0,1.0,-220.0,0.0,0.0,3.0
150,1,6.3,6.05,-187.3,110.027,,,finHit
151,3,-6.3,6.05,-96.9,431.688,,,finHit
152,4,-6.3,-6.05,-13.2,692.496,,,finHit
153,35,100.0,1.0,1.0,-220.0,0.0,0.0,2.0
154,1,6.3,6.05,-187.3,109.434,,,finHit
155,4,6.3,6.05,-13.2,747.983,,,finHit
156,36,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
157,1,6.3,6.05,-187.3,114.037,,,finHit
158,2,6.3,6.05,-134.8,322.229,,,finHit
159,3,18.9,6.05,-96.9,491.226,,,finHit
160,4,44.1,30.25,-13.2,981.204,,,finHit
161,37,100.0,1.0,1.0,-220.0,0.0,0.0,5.0
162,1,6.3,6.05,-187.3,122.191,,,finHit
163,2,6.3,6.05,-134.8,295.958,,,finHit
164,3,-6.3,-6.05,-96.9,428.503,,,finHit
165,2,-31.5,-18.15,-134.8,135.383,,,finHit
166,1,-44.1,-6.05,-187.3,159.856,,,finHit
167,38,100.0,1.0,1.0,-220.0,0.0,0.0,3.0
168,1,6.3,6.05,-187.3,11.494,,,finHit
169,2,6.3,6.05,-134.8,290.993,,,finHit
170,3,6.3,-6.05,-96.9,432.096,,,finHit
171,39,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
172,1,6.3,6.05,-187.3,107.569,,,finHit
173,2,-6.3,6.05,-134.8,304.565,,,finHit
174,3,-6.3,6.05,-96.9,444.241,,,finHit
175,4,-18.9,-6.05,-13.2,815.743,,,finHit
176,40,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
177,1,6.3,6.05,-187.3,111.186,,,finHit
178,2,6.3,-6.05,-134.8,313.762,,,finHit
179,3,6.3,-6.05,-96.9,480.674,,,finHit
180,4,31.5,-18.15,-13.2,876.395,,,finHit
181,41,100.0,1.0,1.0,-220.0,0.0,0.0,3.0
182,1,6.3,6.05,-187.3,116.185,,,finHit
183,3,-6.3,6.05,-96.9,462.142,,,finHit
184,4,-6.3,6.05,-13.2,725.136,,,finHit
185,42,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
