,Event_Number,Ini_E[MeV],Ini_X[cm],Ini_Y[cm],Ini_Z[cm],Ini_Theta,Ini_Phi,Number_of_hits
181,41,100.0,1.0,1.0,-220.0,0.0,0.0,3.0
182,1,6.3,6.05,-187.3,116.185,,,
183,3,-6.3,6.05,-96.9,462.142,,,
184,4,-6.3,6.05,-13.2,725.136,,,
185,42,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
186,1,6.3,6.05,-187.3,113.935,,,
187,2,-6.3,6.05,-134.8,287.472,,,
188,3,-6.3,6.05,-96.9,424.801,,,
189,4,31.5,6.05,-13.2,836.831,,,
190,43,100.0,1.0,1.0,-220.0,0.0,0.0,3.0
191,1,6.3,6.05,-187.3,11.272,,,
192,3,-6.3,-6.05,-96.9,430.125,,,
193,4,-18.9,-18.15,-13.2,867.838,,,
194,44,100.0,1.0,1.0,-220.0,0.0,0.0,3.0
195,1,6.3,6.05,-187.3,11.088,,,
196,2,-6.3,6.05,-134.8,295.778,,,
197,3,-6.3,6.05,-96.9,457.621,,,
198,45,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
199,1,6.3,6.05,-187.3,11.014,,,
200,2,-6.3,-6.05,-134.8,280.741,,,
201,3,6.3,-6.05,-96.9,455.453,,,
202,4,31.5,6.05,-13.2,865.827,,,
203,46,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
204,1,6.3,6.05,-187.3,113.764,,,
205,2,6.3,-6.05,-134.8,29.473,,,
206,3,6.3,-6.05,-96.9,457.295,,,
207,4,18.9,-18.15,-13.2,813.684,,,
208,47,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
209,1,6.3,6.05,-187.3,11.859,,,
210,2,6.3,6.05,-134.8,305.119,,,
211,3,6.3,6.05,-96.9,428.865,,,
212,4,6.3,-6.05,-13.2,738.108,,,
213,48,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
214,1,6.3,6.05,-187.3,109.236,,,
215,3,-6.3,6.05,-96.9,433.344,,,
216,4,-6.3,6.05,-13.2,756.569,,,
217,4,-6.3,-6.05,-13.2,738.256,,,
218,49,100.0,1.0,1.0,-220.0,0.0,0.0,3.0
219,1,6.3,6.05,-187.3,108.727,,,
220,2,6.3,6.05,-134.8,307.348,,,
221,3,6.3,6.05,-96.9,474.331,,,
222,50,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
223,1,6.3,6.05,-187.3,112.541,,,
224,2,6.3,-6.05,-134.8,286.639,,,
225,3,6.3,-6.05,-96.9,426.098,,,
226,4,6.3,6.05,-13.2,739.318,,,
