Hit_Id;Event_Number;Ini_E[MeV];Ini_Theta;Ini_Phi;Number_of_hits;Plane_h;X_h[cm];Y_h[cm];Z_h[cm];Time_h[ns]
1219;2021.0;56.0;0.0;0.0;5.0;4.0;56.7;-6.05;13.2;102.381
1220;2021.0;56.0;0.0;0.0;5.0;4.0;44.1;-18.15;13.2;9.96
1221;2022.0;56.0;0.0;0.0;3.0;1.0;6.3;6.05;187.3;115.672
1222;2022.0;56.0;0.0;0.0;3.0;2.0;6.3;-6.05;134.8;330.946
1223;2022.0;56.0;0.0;0.0;3.0;3.0;31.5;-6.05;96.9;578.856
1224;2023.0;56.0;0.0;0.0;2.0;1.0;6.3;6.05;187.3;115.052
1225;2023.0;56.0;0.0;0.0;2.0;4.0;6.3;-6.05;13.2;694.785
1226;2024.0;56.0;0.0;0.0;4.0;1.0;6.3;6.05;187.3;10.852
1227;2024.0;56.0;0.0;0.0;4.0;2.0;6.3;6.05;134.8;337.655
1228;2024.0;56.0;0.0;0.0;4.0;3.0;6.3;18.15;96.9;490.801
1229;2024.0;56.0;0.0;0.0;4.0;4.0;18.9;6.05;13.2;798.536
1230;2025.0;56.0;0.0;0.0;4.0;1.0;6.3;6.05;187.3;109.085
1231;2025.0;56.0;0.0;0.0;4.0;2.0;-6.3;6.05;134.8;33.093
1232;2025.0;56.0;0.0;0.0;4.0;3.0;-6.3;18.15;96.9;514.577
1233;2025.0;56.0;0.0;0.0;4.0;4.0;-6.3;54.45;13.2;977.307
1234;2026.0;56.0;0.0;0.0;3.0;1.0;6.3;6.05;187.3;106.406
1235;2026.0;56.0;0.0;0.0;3.0;2.0;6.3;-6.05;134.8;34.167
1236;2026.0;56.0;0.0;0.0;3.0;3.0;18.9;-6.05;96.9;517.963
1237;2027.0;56.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;117.639
1238;2028.0;56.0;0.0;0.0;4.0;1.0;6.3;6.05;187.3;114.163
1239;2028.0;56.0;0.0;0.0;4.0;2.0;-6.3;6.05;134.8;318.002
1240;2028.0;56.0;0.0;0.0;4.0;3.0;-6.3;6.05;96.9;464.762
1241;2028.0;56.0;0.0;0.0;4.0;4.0;-6.3;6.05;13.2;751.038
1242;2029.0;56.0;0.0;0.0;4.0;1.0;6.3;6.05;187.3;110.855
1243;2029.0;56.0;0.0;0.0;4.0;2.0;6.3;-6.05;134.8;288.715
1244;2029.0;56.0;0.0;0.0;4.0;3.0;6.3;6.05;96.9;441.224
1245;2029.0;56.0;0.0;0.0;4.0;4.0;6.3;18.15;13.2;794.988
1246;2030.0;56.0;0.0;0.0;3.0;1.0;6.3;6.05;187.3;103.563
1247;2030.0;56.0;0.0;0.0;3.0;2.0;-6.3;-6.05;134.8;31.244
1248;2030.0;56.0;0.0;0.0;3.0;3.0;-6.3;-6.05;96.9;465.397
1249;2031.0;56.0;0.0;0.0;4.0;1.0;6.3;6.05;187.3;118.256
1250;2031.0;56.0;0.0;0.0;4.0;2.0;-6.3;-6.05;134.8;29.389
1251;2031.0;56.0;0.0;0.0;4.0;3.0;-6.3;6.05;96.9;438.287
1252;2031.0;56.0;0.0;0.0;4.0;4.0;-6.3;-6.05;13.2;724.831
1253;2032.0;56.0;0.0;0.0;3.0;1.0;6.3;6.05;187.3;118.434
1254;2032.0;56.0;0.0;0.0;3.0;2.0;6.3;6.05;134.8;331.303
1255;2032.0;56.0;0.0;0.0;3.0;3.0;6.3;6.05;96.9;481.162
1256;2033.0;56.0;0.0;0.0;3.0;1.0;6.3;6.05;187.3;116.178
1257;2033.0;56.0;0.0;0.0;3.0;3.0;6.3;-6.05;96.9;443.482
1258;2033.0;56.0;0.0;0.0;3.0;4.0;18.9;-18.15;13.2;825.342
1259;2034.0;56.0;0.0;0.0;3.0;1.0;6.3;6.05;187.3;112.321
1260;2034.0;56.0;0.0;0.0;3.0;2.0;6.3;18.15;134.8;407.879
1261;2034.0;56.0;0.0;0.0;3.0;3.0;6.3;42.35;96.9;646.618
1262;2035.0;56.0;0.0;0.0;3.0;1.0;6.3;6.05;187.3;115.221
1263;2035.0;56.0;0.0;0.0;3.0;2.0;-6.3;-6.05;134.8;306.766
1264;2035.0;56.0;0.0;0.0;3.0;4.0;18.9;-6.05;13.2;837.644
1265;2036.0;56.0;0.0;0.0;4.0;1.0;6.3;6.05;187.3;112.183
1266;2036.0;56.0;0.0;0.0;4.0;2.0;6.3;6.05;134.8;310.885
1267;2036.0;56.0;0.0;0.0;4.0;3.0;6.3;6.05;96.9;441.153
1268;2036.0;56.0;0.0;0.0;4.0;4.0;-6.3;30.25;13.2;846.732
1269;2037.0;56.0;0.0;0.0;4.0;1.0;6.3;6.05;187.3;114.512
1270;2037.0;56.0;0.0;0.0;4.0;2.0;6.3;-6.05;134.8;31.774
1271;2037.0;56.0;0.0;0.0;4.0;3.0;-6.3;-6.05;96.9;461.726
1272;2037.0;56.0;0.0;0.0;4.0;4.0;-31.5;-30.25;13.2;937.226
1273;2038.0;56.0;0.0;0.0;3.0;1.0;6.3;6.05;187.3;11.259
1274;2038.0;56.0;0.0;0.0;3.0;2.0;18.9;-6.05;134.8;366.233
1275;2038.0;56.0;0.0;0.0;3.0;3.0;31.5;-6.05;96.9;591.922
1276;2039.0;56.0;0.0;0.0;4.0;1.0;6.3;6.05;187.3;113.232
1277;2039.0;56.0;0.0;0.0;4.0;2.0;18.9;6.05;134.8;360.139
1278;2039.0;56.0;0.0;0.0;4.0;3.0;18.9;6.05;96.9;523.442
1279;2039.0;56.0;0.0;0.0;4.0;4.0;31.5;18.15;13.2;861.138
1280;2040.0;56.0;0.0;0.0;5.0;1.0;6.3;6.05;187.3;105.181
1281;2040.0;56.0;0.0;0.0;5.0;2.0;-6.3;6.05;134.8;303.428
1282;2040.0;56.0;0.0;0.0;5.0;3.0;6.3;6.05;96.9;41.481
1283;2040.0;56.0;0.0;0.0;5.0;4.0;18.9;-30.25;13.2;881.613
1284;2040.0;56.0;0.0;0.0;5.0;4.0;-6.3;18.15;13.2;812.847
1285;2041.0;56.0;0.0;0.0;4.0;1.0;6.3;6.05;187.3;118.693
